포스터,제목,장르,러닝타임,회원점수,줄거리,제작비,수익,감독
https://media.themoviedb.org/t/p/w300_and_h450_bestv2/5aUVLiqcW0kFTBfGsCWjvLas91w.jpg,Dune: Part Two,"Science Fiction, Adventure",2h 47m,83.0,"Follow the mythic journey of Paul Atreides as he unites with Chani and the Fremen while on a path of revenge against the conspirators who destroyed his family. Facing a choice between the love of his life and the fate of the known universe, Paul endeavors to prevent a terrible future only he can foresee.",666813734.0,,Denis Villeneuve
https://media.themoviedb.org/t/p/w300_and_h450_bestv2/f7QBvIzoWSJw3jWPGnZBc5vwQ0l.jpg,Kung Fu Panda 4,"Animation, Action, Adventure, Comedy, Family",1h 34m,71.0,"Po is gearing up to become the spiritual leader of his Valley of Peace, but also needs someone to take his place as Dragon Warrior. As such, he will train a new kung fu practitioner for the spot and will encounter a villain called the Chameleon who conjures villains from the past.",410255055.0,,Mike Mitchell
https://media.themoviedb.org/t/p/w300_and_h450_bestv2/tMefBSflR6PGQLv7WvFPpKLZkyk.jpg,Godzilla x Kong: The New Empire,"Action, Science Fiction, Adventure, Fantasy",1h 55m,67.0,"Following their explosive showdown, Godzilla and Kong must reunite against a colossal undiscovered threat hidden within our world, challenging their very existence – and our own.",361305986.0,,Adam Wingard
https://media.themoviedb.org/t/p/w300_and_h450_bestv2/8QVDXDiOGHRcAD4oM6MXjE0osSj.jpg,Alienoid,"Science Fiction, Action, Fantasy, Adventure",2h 22m,71.0,"Gurus in the late Goryeo dynasty try to obtain a fabled, holy sword, and humans in 2022 hunt down an alien prisoner that is locked in a human's body. The two parties cross paths when a time-traveling portal opens up.",24500000.0,12600000.0,Choi Dong-hoon
https://media.themoviedb.org/t/p/w300_and_h450_bestv2/jFK2ZLQUzo9pea0jfMCHDfvWsx7.jpg,The Wages of Fear,"Action, Thrillerp",1h 47m,60.0,"When an explosion at an oil well threatens hundreds of lives, a crack team is called upon to make a deadly desert crossing with nitroglycerine in tow.",,,Julien Leclercq
https://media.themoviedb.org/t/p/w300_and_h450_bestv2/bXi6IQiQDHD00JFio5ZSZOeRSBh.jpg,Road House,"Action, Thriller",2h 1m,71.0,"Ex-UFC fighter Dalton takes a job as a bouncer at a Florida Keys roadhouse, only to discover that this paradise is not all it seems.",,,Charles Mondry
https://media.themoviedb.org/t/p/w300_and_h450_bestv2/p1LbrdJ53dGfEhRopG71akfzOVu.jpg,After the Pandemic,"Science Fiction, Action",1h 24m,51.0,"Set in a post-apocalyptic world where a global airborne pandemic has wiped out 90% of the Earth's population and only the young and immune have endured as scavengers. For Ellie and Quinn, the daily challenges to stay alive are compounded when they become hunted by the merciless Stalkers.",,,Richard Lowry
https://media.themoviedb.org/t/p/w300_and_h450_bestv2/rULWuutDcN5NvtiZi4FRPzRYWSh.jpg,Madame Web,"Action, Fantasy",1h 56m,57.0,"Forced to confront revelations about her past, paramedic Cassandra Webb forges a relationship with three young women destined for powerful futures...if they can all survive a deadly present.",99266032.0,,S.J. Clarkson
https://media.themoviedb.org/t/p/w300_and_h450_bestv2/uoBHsxSgfc3PQsSn98RfnbePHOy.jpg,The Tearsmith,"Romance, Drama",1h 46m,68.0,"Adopted together after a tough childhood in an orphanage, Nica and Rigel realize that unexpected but irresistible feelings pull them together.",7000000.0,,Alessandro Genovesi
https://media.themoviedb.org/t/p/w300_and_h450_bestv2/n726fdyL1dGwt15bY7Nj3XOXc4Q.jpg,Heart of the Hunter,"Action, Mystery, Thriller",1h 48m,58.0,A retired assassin is pulled back into action when his friend uncovers a dangerous conspiracy at the heart of the South African government.,,,Deon Meyer
